Index	EXG0	EXG1	EXG2	EXG3	Accel_X	Accel_Y	Accel_Z	Timestamp	Marker
0	-910.2617	-1338.9440	-1494.2845	-702.0241	0	0	0	1784008753493	0
1	-929.1707	-1380.5916	-1541.1978	-717.3427	0	0	0	1784008753533	0
2	-946.6435	-1395.4315	-1558.4313	-744.6290	0	0	0	1784008753569	0
3	-923.9049	-1362.1614	-1515.5870	-764.4954	0	0	0	1784008753686	0
4	-941.1384	-1361.4432	-1523.7250	-784.3618	0	0	0	1784008753766	0
5	-970.1002	-1395.4315	-1559.3887	-829.3602	0	0	0	1784008753847	0
6	-1002.8916	-1410.9895	-1577.3402	-853.2956	0	0	0	1784008753875	0
7	-1162.7798	-1764.7540	-1891.3721	-661.8127	0	0	0	1784008753920	0
8	-1178.8164	-1787.2533	-1917.4617	-676.4133	0	0	0	1784008753966	0
9	-1183.8429	-1799.6997	-1920.8126	-688.8597	0	0	0	1784008754087	0
10	-1148.1792	-1754.7012	-1877.7290	-664.6849	0	0	0	1784008754141	0
11	-1146.2644	-1770.9773	-1903.3398	-654.1534	0	0	0	1784008754164	0
12	-1132.6212	-1663.7468	-1776.2430	-639.7922	0	0	0	1784008754204	0
13	-1155.5991	-1618.5090	-1712.5750	-639.3135	0	0	0	1784008754270	0
14	-1170.6785	-1705.1550	-1809.2738	-680.4823	0	0	0	1784008754286	0
15	-1175.2262	-1700.1285	-1828.4221	-661.8127	0	0	0	1784008754318	0
16	-1131.1850	-1730.0479	-1854.5117	-652.9566	0	0	0	1784008754404	0
17	-1061.7726	-1530.9056	-1674.7571	-588.3311	0	0	0	1784008754766	0
18	-1095.2821	-1714.2505	-1826.9860	-621.1226	0	0	0	1784008754850	0
19	-1549.0964	-1679.0654	-1799.4603	-1131.1850	0	0	0	1784008754933	0
20	-1567.7661	-1732.9200	-1860.7349	-1141.9560	0	0	0	1784008754970	0
21	-1489.0187	-1604.3872	-1745.3665	-1077.3306	0	0	0	1784008755087	0
22	-1486.8645	-1599.8395	-1743.9303	-1078.7666	0	0	0	1784008755258	0
23	-1502.1832	-1592.4194	-1753.2651	-1088.5802	0	0	0	1784008755294	0
24	-1479.6840	-1575.6647	-1733.1594	-1061.0544	0	0	0	1784008755331	0
25	-1476.3330	-1595.0524	-1745.3665	-1059.8578	0	0	0	1784008755496	0
26	-1502.1832	-1626.1683	-1777.9186	-1074.2190	0	0	0	1784008755530	0
27	-1489.0187	-1607.2594	-1756.3767	-1048.1294	0	0	0	1784008755709	0
28	-1485.9071	-1622.8174	-1767.3870	-1042.3849	0	0	0	1784008755768	0
29	-1495.2420	-1607.0200	-1742.7335	-1038.0765	0	0	0	1784008755802	0
30	-1492.6090	-1285.8075	-1482.0775	-1442.8235	0	0	0	1784008756017	0
31	-1550.7720	-1251.8193	-1428.4623	-1438.5151	0	0	0	1784008756493	0
32	-1548.6178	-1275.7546	-1454.5518	-1419.8456	0	0	0	1784008756622	0
33	-1559.1493	-1248.9470	-1438.7545	-1426.0687	0	0	0	1784008756884	0
34	-1572.3137	-1268.0953	-1455.5093	-1442.5841	0	0	0	1784008756904	0
35	-1155.3599	-1285.8075	-1472.7427	-1084.2719	0	0	0	1784008756949	0
36	-1161.1042	-1293.4668	-1464.3654	-1088.8195	0	0	0	1784008757052	0
37	-1149.3760	-1242.2451	-1422.4784	-1092.6492	0	0	0	1784008757403	0
38	-1136.4509	-1240.5697	-1419.8456	-1089.0588	0	0	0	1784008757435	0
39	-1168.5243	-1255.4097	-1438.2758	-1135.0148	0	0	0	1784008757522	0
40	-1147.4612	-1230.7562	-1409.0746	-1106.0530	0	0	0	1784008757541	0
41	-1166.3701	-1252.7767	-1427.5049	-1114.4303	0	0	0	1784008757637	0
42	-1174.9868	-1235.7826	-1412.6649	-1137.4083	0	0	0	1784008757655	0
43	-1150.8121	-1244.3993	-1420.8030	-1109.6433	0	0	0	1784008757873	0
44	-883.6935	-1512.4753	-1648.6676	-569.1829	0	0	0	1784008757993	0
45	-917.2030	-1563.9364	-1708.2666	-594.0756	0	0	0	1784008758032	0
46	-930.1281	-1587.3931	-1754.9406	-617.0536	0	0	0	1784008758111	0
47	-928.6920	-1499.3109	-1645.5560	-639.7922	0	0	0	1784008758559	0
48	-950.7125	-1536.1714	-1685.2887	-646.4941	0	0	0	1784008758630	0
49	-1243.2026	-1805.9229	-1943.0725	-876.7522	0	0	0	1784008758827	0
50	-1343.7311	-1901.4249	-2049.5850	-989.9665	0	0	0	1784008758863	0
51	-1288.2010	-1853.0756	-1987.1135	-930.1281	0	0	0	1784008758932	0
52	-1348.0394	-1650.1038	-1794.9126	-961.9621	0	0	0	1784008758994	0
53	-1278.3876	-1578.5370	-1731.4839	-844.9182	0	0	0	1784008759105	0
54	-1275.7546	-1573.9893	-1727.4149	-851.8594	0	0	0	1784008759292	0
55	-1300.8868	-1600.5575	-1751.1110	-866.2206	0	0	0	1784008759426	0
56	-1336.3112	-1665.9010	-1813.5822	-910.7404	0	0	0	1784008759552	0
